LookAheadYears_0.csv
Top10VsOthers Top20VsOthers Top30VsOthers Top40VsOthers Top50VsOthers Top60VsOthers Top70VsOthers Top80VsOthers Top90VsOthers BinsVoted PredictedTemperature ActualTemperature
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.4
1 0 0 1 1 1 1 1 1 [8] 0.62 0.43
1 0 0 1 1 1 1 1 1 [8] 0.62 0.45
1 0 0 1 1 1 1 1 1 [8] 0.62 0.45
1 0 0 1 1 1 1 1 1 [8] 0.62 0.47
1 0 0 0 0 1 1 1 1 [8] 0.62 0.52
1 0 0 0 0 1 1 1 1 [8] 0.62 0.55
1 0 0 1 0 1 1 1 1 [8] 0.62 0.58
1 0 0 1 1 1 1 1 1 [8] 0.62 0.58
1 0 0 1 1 1 1 1 1 [8] 0.62 0.59
1 0 0 1 1 1 1 1 1 [8] 0.62 0.62
1 0 0 0 1 1 1 1 1 [8] 0.62 0.63
1 0 0 1 0 1 1 1 1 [8] 0.62 0.64
1 0 0 1 0 1 1 1 1 [8] 0.62 0.64
1 0 0 0 0 1 1 1 1 [8] 0.62 0.64
1 0 0 0 0 1 1 1 1 [8] 0.62 0.65
1 0 0 0 0 1 1 0 1 [8] 0.62 0.66
1 0 0 0 0 1 1 1 1 [8] 0.62 0.67
1 0 0 0 0 1 1 1 1 [8] 0.62 0.73

LookAheadYears_4.csv
Top10VsOthers Top20VsOthers Top30VsOthers Top40VsOthers Top50VsOthers Top60VsOthers Top70VsOthers Top80VsOthers Top90VsOthers BinsVoted PredictedTemperature ActualTemperature
0 0 1 0 1 1 1 1 1 "[6, 7, 8]" 0.41 0.33
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.33
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.35
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.36
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.39
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.39
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.4
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.43
1 0 1 1 1 1 1 1 1 [8] 0.62 0.45
1 0 1 0 1 1 1 1 1 [8] 0.62 0.45
1 0 1 0 1 1 1 1 1 [8] 0.62 0.47
1 0 1 0 1 1 1 1 1 [8] 0.62 0.52
1 0 0 0 0 1 1 1 1 [8] 0.62 0.55
1 0 0 0 0 1 1 1 1 [8] 0.62 0.58
1 0 0 1 0 1 1 1 1 [8] 0.62 0.58
1 0 0 1 1 1 1 1 1 [8] 0.62 0.59
1 0 0 1 1 1 1 1 1 [8] 0.62 0.62
1 0 0 1 1 1 1 1 1 [8] 0.62 0.63
1 0 0 1 1 1 1 1 1 [8] 0.62 0.64
1 0 0 0 0 1 1 1 1 [8] 0.62 0.64
1 0 0 1 0 1 1 1 1 [8] 0.62 0.64
1 0 0 0 0 1 1 1 1 [8] 0.62 0.65
1 0 0 0 0 1 1 1 1 [8] 0.62 0.66
1 0 0 0 0 1 1 1 1 [8] 0.62 0.67
1 0 0 0 0 1 1 1 1 [8] 0.62 0.73

LookAheadYears_5.csv
Top10VsOthers Top20VsOthers Top30VsOthers Top40VsOthers Top50VsOthers Top60VsOthers Top70VsOthers Top80VsOthers Top90VsOthers BinsVoted PredictedTemperature ActualTemperature
0 0 1 0 0 1 1 1 1 "[6, 7, 8]" 0.41 0.33
0 0 1 0 1 1 1 1 1 "[6, 7, 8]" 0.41 0.33
0 0 1 0 0 1 1 1 1 "[6, 7, 8]" 0.41 0.35
0 0 1 0 0 1 1 1 1 "[6, 7, 8]" 0.41 0.36
0 0 1 0 1 1 1 1 1 "[6, 7, 8]" 0.41 0.39
0 0 1 0 0 1 1 1 1 "[6, 7, 8]" 0.41 0.39
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.4
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.43
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.45
1 1 1 1 1 1 1 1 1 [8] 0.62 0.45
1 1 1 0 1 1 1 1 1 [8] 0.62 0.47
1 1 0 0 1 1 1 1 1 [8] 0.62 0.52
1 1 0 0 1 1 1 1 1 [8] 0.62 0.55
1 1 0 0 0 1 1 1 1 [8] 0.62 0.58
1 1 0 0 1 1 1 1 1 [8] 0.62 0.58
1 1 1 0 1 1 1 1 1 [8] 0.62 0.59
1 1 1 1 1 1 1 1 1 [8] 0.62 0.62
1 1 0 1 1 1 1 1 1 [8] 0.62 0.63
1 1 0 1 1 1 1 1 1 [8] 0.62 0.64
1 1 0 1 1 1 1 1 1 [8] 0.62 0.64
1 1 0 0 0 1 1 1 1 [8] 0.62 0.64
1 1 0 0 1 1 1 1 1 [8] 0.62 0.65
1 1 0 0 1 1 1 1 1 [8] 0.62 0.66
1 1 0 0 1 1 1 1 1 [8] 0.62 0.67
1 1 0 0 1 1 1 1 1 [8] 0.62 0.73

LookAheadYears_6.csv
Top10VsOthers Top20VsOthers Top30VsOthers Top40VsOthers Top50VsOthers Top60VsOthers Top70VsOthers Top80VsOthers Top90VsOthers BinsVoted PredictedTemperature ActualTemperature
0 0 1 0 1 1 1 1 1 "[6, 7, 8]" 0.41 0.33
0 0 1 0 1 1 1 1 1 "[6, 7, 8]" 0.41 0.33
0 0 1 0 1 1 1 1 1 "[6, 7, 8]" 0.41 0.35
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.36
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.39
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.39
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.4
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.43
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.45
0 0 1 1 1 1 1 1 1 "[6, 7, 8]" 0.41 0.45
1 0 1 1 1 1 1 1 1 [8] 0.62 0.47
1 0 1 1 1 1 1 1 1 [8] 0.62 0.52
1 0 0 0 1 1 1 1 1 [8] 0.62 0.55
1 0 0 1 1 1 1 1 1 [8] 0.62 0.58
1 0 0 1 1 1 1 1 1 [8] 0.62 0.58
1 0 0 1 1 1 1 1 1 [8] 0.62 0.59
1 0 1 0 1 1 1 1 1 [8] 0.62 0.62
1 0 1 1 1 1 1 1 1 [8] 0.62 0.63
1 0 0 1 1 1 1 1 1 [8] 0.62 0.64
1 0 0 1 1 1 1 1 1 [8] 0.62 0.64
1 0 0 1 1 1 1 1 1 [8] 0.62 0.64
1 0 0 1 1 1 1 1 1 [8] 0.62 0.65
1 0 0 0 1 1 1 1 1 [8] 0.62 0.66
1 0 0 1 1 1 1 1 1 [8] 0.62 0.67
1 0 0 1 1 1 1 1 1 [8] 0.62 0.73

LookAheadYears_7.csv
